,imdbid,title,year,rating,estimated budget,world gross
0,3155794,Passage de Venus,1874,6.8,,
1,14495706,La Rosace Magique,1877,5.8,,
2,2221420,Sallie Gardner at a Gallop,1878,7.4,,
3,12592084,Le singe musicien,1878,6.0,,
4,7816420,Athlete Swinging a Pick,1881,5.1,,
5,5459794,Buffalo Running,1883,6.2,,
6,8588366,L'homme machine,1885,5.3,,
7,2075247,Man Walking Around the Corner,1887,5.2,,
8,8133192,Cockatoo Flying,1887,5.3,,
9,7411790,Child Carrying Flowers to Woman,1887,5.8,,
10,7541160,Jumping Over a Man's Back-Leapfrog,1887,5.1,,
11,7754902,Man Riding Jumping Horse,1887,5.3,,
12,8361552,Baboon Climbing a Pole,1887,4.8,,
13,0392728,Roundhay Garden Scene,1888,7.3,,
14,1758563,Accordion Player,1888,5.5,,
15,0343112,Traffic Crossing Leeds Bridge,1888,6.6,,
16,3274100,Pferd und Reiter Springen über ein Hindernis,1888,5.7,,
17,2116853,Brighton Street Scene,1888,5.5,,
18,0466876,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,5.0,,
19,2116898,Hyde Park Corner,1889,5.1,,
20,0361921,"Monkeyshines, No. 1",1890,4.9,,
21,0416046,"Monkeyshines, No. 2",1890,4.8,,
22,1202028,London's Trafalgar Square,1890,5.4,,
23,0416047,"Monkeyshines, No. 3",1890,4.2,,
24,5285442,Mosquinha,1890,6.5,,
25,2116968,"Traffic in King's Road, Chelsea",1890,4.9,,
26,0241373,Dickson Greeting,1891,5.3,,
27,0241715,Men Boxing,1891,4.7,,
28,0241763,Newark Athlete,1891,4.9,,
29,0241393,"Duncan and Another, Blacksmith Shop",1891,3.9,,
30,0241392,Duncan Smoking,1891,3.8,,
31,0241394,Duncan or Devonald with Muslin Cloud,1891,4.3,,
32,0241735,"Monkey and Another, Boxing",1891,4.4,,
33,3201916,Je vous aime,1891,5.1,,
34,3508566,La vague,1891,5.0,,
35,5447082,Two Fencers,1891,4.9,,
36,0000003,Pauvre Pierrot,1892,6.5,,
37,0000004,Un bon bock,1892,5.6,,
38,0000002,Le clown et ses chiens,1892,5.8,,
39,0241446,Fencing,1892,4.2,,
40,0234520,Le prince de Galles,1892,4.8,,
41,0242148,Wrestling,1892,4.5,,
42,0241266,Boxing,1892,5.0,,
43,0000005,Blacksmith Scene,1893,6.2,,
44,0229217,Annabelle Butterfly Dance,1894,5.9,,
45,8419312,Edison Kinetoscope Records: Annie Oakley,1894,5.8,,
46,0000015,Autour d'une cabine,1894,6.1,,
47,0229235,The Barbershop,1894,5.3,,
48,0309396,Bucking Broncho,1894,5.1,,
49,0309402,Buffalo Dance,1894,5.4,,
