,title,id,imdbid,year,rating
0,Passage de Venus,9602,3155794,1874,0
1,La Rosace Magique,9804,14495706,1877,0
2,Sallie Gardner at a Gallop,9603,2221420,1878,0
3,Le singe musicien,9806,12592084,1878,0
4,Athlete Swinging a Pick,9816,7816420,1881,0
5,Buffalo Running,9831,5459794,1883,0
6,L&#39;homme machine,9832,8588366,1885,0
7,Man Walking Around the Corner,9614,2075247,1887,0
8,Cockatoo Flying,9836,8133192,1887,0
9,Child Carrying Flowers to Woman,9837,7411790,1887,0
10,Jumping Over a Man&#39;s Back-Leapfrog,9838,7541160,1887,0
11,Man Riding Jumping Horse,9841,7754902,1887,0
12,Baboon Climbing a Pole,9902,8361552,1887,0
13,Roundhay Garden Scene,8040,0392728,1888,0
14,Accordion Player,9615,1758563,1888,0
15,Traffic Crossing Leeds Bridge,9616,0343112,1888,0
16,Pferd und Reiter Springen uber ein Hindernis,9675,3274100,1888,0
17,Brighton Street Scene,9947,2116853,1888,0
18,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",9619,0466876,1889,0
19,Hyde Park Corner,9945,2116898,1889,0
20,"Monkeyshines, No. 1",9617,0361921,1890,0
21,"Monkeyshines, No. 2",9618,0416046,1890,0
22,London&#39;s Trafalgar Square,9621,1202028,1890,0
23,"Monkeyshines, No. 3",9678,0416047,1890,0
24,Mosquinha,9946,5285442,1890,0
25,"Traffic in King&#39;s Road, Chelsea",9944,2116968,1890,0
26,Dickson Greeting,9626,0241373,1891,0
27,Men Boxing,9628,0241715,1891,0
28,Newark Athlete,9629,0241763,1891,0
29,"Duncan and Another, Blacksmith Shop",9792,0241393,1891,0
30,Duncan Smoking,9793,0241392,1891,0
31,Duncan or Devonald with Muslin Cloud,9794,0241394,1891,0
32,"Monkey and Another, Boxing",9795,0241735,1891,0
33,Je vous aime,9800,3201916,1891,0
34,La vague,9802,3508566,1891,0
35,Two Fencers,9943,5447082,1891,0
36,Pauvre Pierrot,5433,0000003,1892,0
37,Un bon bock,9631,0000004,1892,0
38,Le clown et ses chiens,9632,0000002,1892,0
39,Fencing,9951,0241446,1892,0
40,Le prince de Galles,9952,0234520,1892,0
41,Wrestling,9948,0242148,1892,0
42,Boxing,9986,0241266,1892,0
43,Blacksmith Scene,9583,0000005,1893,0
44,Annabelle Butterfly Dance,9636,0229217,1894,0
45,Edison Kinetoscope Records: Annie Oakley,9642,8419312,1894,0
46,Autour d&#39;une cabine,9646,0000015,1894,0
47,"Barbershop, The",9648,0229235,1894,0
48,Bucking Broncho,9649,0309396,1894,0
49,Buffalo Dance,9650,0309402,1894,0
50,Carmencita,9651,0000001,1894,0
51,Edison Kinetoscopic Record of a Sneeze,9652,0000008,1894,0
52,Dickson Experimental Sound Film,9654,0177707,1894,0
53,Chinese Opium Den,9655,0000006,1894,0
54,Corbett and Courtney Before the Kinetograph,9656,0000007,1894,0
55,Falling Cat,9662,2049440,1894,0
56,"Glenroy Bros., No. 2",9663,0312728,1894,0
57,Glenroy Brothers,9664,0256782,1894,0
58,Leonard-Cushing Fight,9668,0203646,1894,0
59,"Luis Martinetti, Contortionist",9671,0277115,1894,0
60,Sandow No. 2,9673,2161519,1894,0
61,Sandow No. 3,9674,2161521,1894,0
62,Reve au coin du feu,9681,0413219,1894,0
63,Miss Jerry,9779,0000009,1894,0
64,Tables Turned on the Gardener,5444,0000014,1895,0
65,"Execution of Mary, Queen of Scots, The",6200,0132134,1895,0
66,Akrobatisches Potpourri,9679,0000011,1895,1
67,Annabelle Serpentine Dance,9683,0154152,1895,0
68,Italienischer Bauerntanz,9714,0000017,1895,0
69,Baby&#39;s Dinner,9715,0000029,1895,1
70,Billy Edwards and the Unknown,9766,0477266,1895,0
71,Blacksmith Scene,9767,0000022,1895,0
72,Barque sortant du port,9787,0000016,1895,0
73,"House of the Devil, The",4982,0000091,1896,0
74,Une nuit terrible,5406,0000131,1896,0
75,La fee aux choux,5445,0223341,1896,0
76,"Arrival of a Train, The",6199,0000012,1896,0
77,Sandow,9672,1428455,1896,0
78,Alger: rue Bab-Azoun,9949,1672718,1896,0
79,Lassage des boeufs pour le labour,9950,1736599,1896,0
80,Lancement d&#39;un navire,9901,0222137,1896,0
81,Bataille de neige,9328,0000041,1897,0
82,Four Heads Are Better Than One,4978,0135696,1898,0
83,"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,0000211,1898,0
84,"Temptation of St. Anthony, The",5411,0224240,1898,0
85,A Turn of the Century Illusionist,4994,0000246,1899,0
86,Cinderella,5914,0000230,1899,3
87,Sherlock Holmes Baffled,1594,0291476,1900,0
88,"Enchanted Drawing, The",4271,0000300,1900,0
89,Grandma&#39;s Reading Glass,4343,0000304,1900,0
90,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),4344,0000272,1900,0
91,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),4345,0257654,1900,0
92,Hamlet ( Le Duel d&#39;Hamlet),4346,0000306,1900,0
93,"One-Man Band, The",4993,0135453,1900,0
94,Grandma Threading Her Needle,5069,0377995,1900,0
95,"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,0230746,1900,0
96,Let Me Dream Again,5438,0000313,1900,0
97,"Doctor and the Monkey, The",5446,0227438,1900,0
98,L&#39;homme a la tete en caoutchouc,4995,0000359,1901,0
99,Reve et realite,5437,0258104,1901,0
100,Bluebeard,5500,0131934,1901,0
101,Le voyage dans la lune,1252,0000417,1902,0
102,Gulliver&#39;s Travels,5431,0229024,1902,0
103,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,0367177,1902,0
104,Mephistopheles&#39; School of Magic,5443,0000413,1902,0
105,"Great Train Robbery, The",1319,0000439,1903,0
106,"Infernal Boiling Pot, The",5002,0135180,1903,0
107,"Music Lover, The",5063,0000455,1903,0
108,"Monster, The",5064,0223755,1903,0
109,"Enchanted Well, The",5683,0189498,1903,0
110,"Cook in Trouble, The",5224,0215664,1904,0
111,"Living Playing Cards, The",5404,0135179,1904,0
112,"Untamable Whiskers, The",5601,0135631,1904,0
113,Le voyage a travers l&#39;impossible,6135,0000499,1904,0
114,"Scheming Gambler&#39;s Paradise, The",5003,0135690,1905,0
115,"Black Imp, The",5602,0215575,1905,0
116,"Story of the Kelly Gang, The",1349,0000574,1906,1
117,"Mysterious Retort, The",5024,0216016,1906,0
118,Humorous Phases of Funny Faces,5435,0000554,1906,0
119,"Hilarious Posters, The",5603,0135122,1906,0
120,"400 Tricks of the Devil, The",5684,0000567,1906,0
121,A Funny Shave,6206,0449172,1906,0
122,"Consequence of Feminism, The",7215,1260944,1906,0
123,"Eclipse: Courtship of the Sun and Moon, The",5223,0215737,1907,0
124,Good Glue Sticks,5615,0215817,1907,0
125,Unusual Cooking,6231,1802750,1908,0
126,"Princess Nicotine; or, The Smoke Fairy",4409,0001009,1909,2
127,"Devilish Tenant, The",5635,0127948,1909,0
128,Le barometre de la fidelite,6211,0277596,1909,1
129,Tilly the Tomboy Visits the Poor,1464,0232821,1910,3
130,Mobilier fidele,4983,0486978,1910,0
131,A Trip to Mars,5685,1515725,1910,0
132,Cleopatra,2003,0002101,1912,2
133,"Invaders, The",2005,0002281,1912,0
134,Max and the Donkey,5357,0277865,1912,0
135,"Voyage of the Bourrichon Family, The",5364,0003512,1913,0
136,Suspense,5915,0003424,1913,0
137,A Florida Enchantment,4457,0003973,1914,2
138,"Birth of a Nation, The",1258,0004972,1915,2
139,Gretchen the Greenhorn,2008,0006745,1916,3
140,Lady Windermere&#39;s Fan,2014,0279914,1916,3
141,"Vagabond, The",5368,0007507,1916,0
142,Intolerance: Love&#39;s Struggle Throughout the Ages,5944,0006864,1916,0
143,Snow White,7004,0007361,1916,3
144,A Tale of Two Cities,1981,0008652,1917,3
145,Rebecca of Sunnybrook Farm,1993,0008499,1917,3
146,"Poor Little Rich Girl, The",1994,0008443,1917,3
147,A Romance of the Redwoods,2015,0008519,1917,0
148,"Raffles, the Amateur Cracksman",2019,0008489,1917,2
149,Tarzan of the Apes,1996,0009682,1918,3
150,Stella Maris,2007,0009652,1918,3
151,Are Crooks Dishonest?,5441,0008844,1918,0
152,Ich mochte kein Mann sein,7108,0010281,1918,3
153,When the Clouds Roll by,2018,0010879,1919,3
154,Broken Blossoms or The Yellow Man and the Girl,2588,0009968,1919,0
155,"Cabinet of Dr. Caligari, The",1306,0010323,1920,0
156,Pollyanna,1991,0011588,1920,3
157,Within Our Gates,5948,0011870,1920,3
158,Orphans of the Storm,1263,0012532,1921,3
159,"Kid, The",3945,0012349,1921,0
160,"Blot, The",4204,0011979,1921,3
161,K&ouml;rkarlen (The Phantom Carriage),5898,0012364,1921,2
162,"Nosferatu, eine Symphonie des Grauens",1307,0013442,1922,2
163,"Phantom, The",1631,0013496,1922,2
164,Nathan der Weise,1778,0013428,1922,2
165,"Man from Beyond, The",2001,0013367,1922,1
166,H&auml;xan: Witchcraft Through the Ages,3800,0013257,1922,3
167,"Paleface, The",5361,0012543,1922,0
168,Nanook of the North,5901,0013427,1922,1
169,Foolish Wives,5958,0013140,1922,3
170,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",5967,0013086,1922,3
171,Safety Last!,1961,0014429,1923,0
172,Why Worry?,1967,0014611,1923,0
173,"Silent Command, The",1998,0014469,1923,2
174,La souriante Madame Beudet,5888,0013626,1923,3
175,Our Hospitality,5949,0014341,1923,0
176,A Woman of Paris,8947,0014624,1923,2
177,Die Nibelungen,1337,0015175,1924,2
178,Kriemhild&#39;s Revenge,1338,0015174,1924,2
179,"Thief of Bagdad, The",1264,0015400,1924,0
180,Wild Oranges,1960,0015498,1924,0
181,"Navigator, The",2009,0015163,1924,0
182,Sherlock Jr.,2011,0015324,1924,0
183,Girl Shy,2016,0014945,1924,0
184,Manhandled,2020,0015116,1924,3
185,"Great White Silence, The",2413,1764657,1924,0
186,Help!,6209,0013845,1924,0
187,Greed,8458,0015881,1924,3
188,"Phantom of the Opera, The",1305,0016220,1925,2
189,Battleship Potemkin,1308,0015648,1925,0
190,"Gold Rush, The",1309,0015864,1925,0
191,Go West,1978,0015863,1925,0
192,"Freshman, The",2012,0015841,1925,0
193,Seven Chances,3077,0016332,1925,0
194,"Lost World, The",5514,0016039,1925,2
195,"Big Parade, The",5962,0015624,1925,2
196,Stachka,5991,0015361,1925,0
197,"Temptress, The",1334,0017449,1926,1
198,Flesh and the Devil,1260,0016884,1926,1
199,"General, The",1310,0017925,1926,0
200,For Heaven&#39;s Sake,1966,0016895,1926,0
201,So&#39;s Your Old Man,3217,0017410,1926,3
202,Die Abenteuer des Prinzen Achmed,5974,0015532,1926,1
203,It,1227,0018033,1927,3
204,Metropolis,1267,0017136,1927,1
205,Abel Gance&#39;s Napoleon,1312,0018192,1927,2
206,"Unknown, The",1311,0018528,1927,0
207,Sunrise: A Song of Two Humans,1632,0018455,1927,2
208,"Kid Brother, The",1964,0018051,1927,0
209,Nevada,1982,0018199,1927,0
210,My Best Girl,2010,0018183,1927,3
211,Wings,3118,0018578,1927,1
212,"Jazz Singer, The",5975,0018037,1927,1
213,Downhill [When Boys Leave Home],7324,0017825,1927,1
214,"Passion of Joan of Arc, The",1314,0019254,1928,0
215,Speedy,1963,0019412,1928,0
216,"Circus, The",1968,0018773,1928,0
217,"Cameraman, The",1970,0018742,1928,0
218,"Steamboat Bill, Jr.",1971,0019421,1928,0
219,"Racket, The",1972,0019304,1928,0
220,Beggars of Life,1977,0018684,1928,0
221,"Power of the Press, The",1979,0019290,1928,1
222,A Girl in Every Port,1980,0018937,1928,0
223,"Patsy, The",2013,0019258,1928,3
224,While the City Sleeps,2017,0019571,1928,2
225,"Man Who Laughs, The",2021,0019130,1928,2
226,"Crowd, The",5912,0018806,1928,1
