,title,id,year,rating,imdbid
0,Passage de Venus,9602,1874,0,3155794
1,La Rosace Magique,9804,1877,0,14495706
2,Sallie Gardner at a Gallop,9603,1878,0,2221420
3,Le singe musicien,9806,1878,0,12592084
4,Athlete Swinging a Pick,9816,1881,0,7816420
5,Buffalo Running,9831,1883,0,5459794
6,L&#39;homme machine,9832,1885,0,8588366
7,Man Walking Around the Corner,9614,1887,0,2075247
8,Cockatoo Flying,9836,1887,0,8133192
9,Child Carrying Flowers to Woman,9837,1887,0,7411790
10,Jumping Over a Man&#39;s Back-Leapfrog,9838,1887,0,7541160
11,Man Riding Jumping Horse,9841,1887,0,7754902
12,Baboon Climbing a Pole,9902,1887,0,8361552
13,Roundhay Garden Scene,8040,1888,0,392728
14,Accordion Player,9615,1888,0,1758563
15,Traffic Crossing Leeds Bridge,9616,1888,0,343112
16,Pferd und Reiter Springen uber ein Hindernis,9675,1888,0,3274100
17,Brighton Street Scene,9947,1888,0,2116853
18,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",9619,1889,0,466876
19,Hyde Park Corner,9945,1889,0,2116898
20,"Monkeyshines, No. 1",9617,1890,0,361921
21,"Monkeyshines, No. 2",9618,1890,0,416046
22,London&#39;s Trafalgar Square,9621,1890,0,1202028
23,"Monkeyshines, No. 3",9678,1890,0,416047
24,Mosquinha,9946,1890,0,5285442
25,"Traffic in King&#39;s Road, Chelsea",9944,1890,0,2116968
26,Dickson Greeting,9626,1891,0,241373
27,Men Boxing,9628,1891,0,241715
28,Newark Athlete,9629,1891,0,241763
29,"Duncan and Another, Blacksmith Shop",9792,1891,0,241393
30,Duncan Smoking,9793,1891,0,241392
31,Duncan or Devonald with Muslin Cloud,9794,1891,0,241394
32,"Monkey and Another, Boxing",9795,1891,0,241735
33,Je vous aime,9800,1891,0,3201916
34,La vague,9802,1891,0,3508566
35,Two Fencers,9943,1891,0,5447082
36,Pauvre Pierrot,5433,1892,0,3
37,Un bon bock,9631,1892,0,4
38,Le clown et ses chiens,9632,1892,0,2
39,Fencing,9951,1892,0,241446
40,Le prince de Galles,9952,1892,0,234520
41,Wrestling,9948,1892,0,242148
42,Boxing,9986,1892,0,241266
43,Blacksmith Scene,9583,1893,0,5
44,Annabelle Butterfly Dance,9636,1894,0,229217
45,Edison Kinetoscope Records: Annie Oakley,9642,1894,0,8419312
46,Autour d&#39;une cabine,9646,1894,0,15
