,id,year,title,imdbid,rating
0,9602,1874,Passage de Venus,3155794,0
1,9804,1877,La Rosace Magique,14495706,0
2,9603,1878,Sallie Gardner at a Gallop,2221420,0
3,9806,1878,Le singe musicien,12592084,0
4,9816,1881,Athlete Swinging a Pick,7816420,0
5,9831,1883,Buffalo Running,5459794,0
6,9832,1885,L&#39;homme machine,8588366,0
7,9614,1887,Man Walking Around the Corner,2075247,0
8,9836,1887,Cockatoo Flying,8133192,0
9,9837,1887,Child Carrying Flowers to Woman,7411790,0
10,9838,1887,Jumping Over a Man&#39;s Back-Leapfrog,7541160,0
11,9841,1887,Man Riding Jumping Horse,7754902,0
12,9902,1887,Baboon Climbing a Pole,8361552,0
13,8040,1888,Roundhay Garden Scene,0392728,0
14,9615,1888,Accordion Player,1758563,0
15,9616,1888,Traffic Crossing Leeds Bridge,0343112,0
16,9675,1888,Pferd und Reiter Springen uber ein Hindernis,3274100,0
17,9947,1888,Brighton Street Scene,2116853,0
18,9619,1889,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0466876,0
19,9945,1889,Hyde Park Corner,2116898,0
20,9617,1890,"Monkeyshines, No. 1",0361921,0
21,9618,1890,"Monkeyshines, No. 2",0416046,0
22,9621,1890,London&#39;s Trafalgar Square,1202028,0
23,9678,1890,"Monkeyshines, No. 3",0416047,0
24,9946,1890,Mosquinha,5285442,0
25,9944,1890,"Traffic in King&#39;s Road, Chelsea",2116968,0
26,9626,1891,Dickson Greeting,0241373,0
27,9628,1891,Men Boxing,0241715,0
28,9629,1891,Newark Athlete,0241763,0
29,9792,1891,"Duncan and Another, Blacksmith Shop",0241393,0
30,9793,1891,Duncan Smoking,0241392,0
31,9794,1891,Duncan or Devonald with Muslin Cloud,0241394,0
32,9795,1891,"Monkey and Another, Boxing",0241735,0
33,9800,1891,Je vous aime,3201916,0
34,9802,1891,La vague,3508566,0
35,9943,1891,Two Fencers,5447082,0
36,5433,1892,Pauvre Pierrot,0000003,0
37,9631,1892,Un bon bock,0000004,0
