,imdbid,title,year,imdb_rating,estimated budget,world gross,id,year_y,bechdel_rating
154,0010323,The Cabinet of Dr. Caligari,1920,8.0,"$18,000 (estimated)","$8,811",1306.0,1920.0,0.0
155,0011588,Pollyanna,1920,6.4,"$18,000 (estimated)","$8,811",1991.0,1920.0,3.0
158,0012349,The Kid,1921,8.3,"$250,000 (estimated)","$41,960",3945.0,1921.0,0.0
175,0014624,A Woman of Paris: A Drama of Fate,1923,6.9,"$351,000 (estimated)","$11,233",8947.0,1923.0,2.0
189,0015864,The Gold Rush,1925,8.1,"$923,000 (estimated)","$29,328",1309.0,1925.0,0.0
203,0017136,Metropolis,1927,8.3,"DEM 6,000,000 (estimated)","$1,349,711",1267.0,1927.0,1.0
204,0018192,Napoleon,1927,8.2,"FRF 20,000,000 (estimated)","$39,448",1312.0,1927.0,2.0
205,0018528,The Unknown,1927,7.7,"$217,000 (estimated)","$4,841",1311.0,1927.0,0.0
206,0018455,Sunrise,1927,8.1,"$200,000 (estimated)","$121,107",1632.0,1927.0,2.0
207,0018051,The Kid Brother,1927,7.6,"$200,000 (estimated)","$121,107",1964.0,1927.0,0.0
210,0018578,Wings,1927,7.6,"$2,000,000 (estimated)",$746,3118.0,1927.0,1.0
211,0018037,The Jazz Singer,1927,6.4,"$2,000,000 (estimated)",$746,5975.0,1927.0,1.0
215,0018773,The Circus,1928,8.1,"$900,000 (estimated)","$27,425",1968.0,1928.0,0.0
216,0018742,The Cameraman,1928,8.0,"$900,000 (estimated)","$27,425",1970.0,1928.0,0.0
237,0020697,The Blue Angel,1930,7.7,"$500,000 (estimated)","$4,410",1315.0,1930.0,1.0
238,0020629,All Quiet on the Western Front,1930,8.1,"$500,000 (estimated)","$4,410",1316.0,1930.0,0.0
239,0020641,Anna Christie,1930,6.6,"$500,000 (estimated)","$4,410",1326.0,1930.0,3.0
251,0021884,Frankenstein,1931,7.8,"$291,000 (estimated)","$1,626",1317.0,1931.0,1.0
257,0021814,Dracula,1931,7.4,"$355,000 (estimated)","$85,204",1985.0,1931.0,2.0
259,0021749,City Lights,1931,8.5,"$1,500,000 (estimated)","$50,419",2705.0,1931.0,3.0
281,0022913,Freaks,1932,7.8,"$310,607 (estimated)","$4,072",3659.0,1932.0,2.0
282,0024188,Island of Lost Souls,1932,7.4,"$310,607 (estimated)","$4,072",3844.0,1932.0,1.0
300,0024216,King Kong,1933,7.9,"$670,000 (estimated)",$651,2229.0,1933.0,0.0
301,0024264,Little Women,1933,7.2,"$670,000 (estimated)",$651,2231.0,1933.0,3.0
304,0024034,42nd Street,1933,7.3,"$439,000 (estimated)","$1,600",4335.0,1933.0,3.0
312,0024184,The Invisible Man,1933,7.6,"$328,033 (estimated)","$27,105",7450.0,1933.0,1.0
313,0023775,Baby Face,1933,7.5,"$328,033 (estimated)","$27,105",7528.0,1933.0,3.0
319,0025316,It Happened One Night,1934,8.1,"$325,000 (estimated)","$11,477",621.0,1934.0,3.0
320,0024961,The Cat's-Paw,1934,6.6,"$325,000 (estimated)","$11,477",1324.0,1934.0,1.0
321,0025746,The Scarlet Empress,1934,7.5,"$900,000 (estimated)","$3,353",1325.0,1934.0,3.0
322,0025617,The Painted Veil,1934,6.5,"$900,000 (estimated)","$3,353",1329.0,1934.0,1.0
323,0025004,The Count of Monte Cristo,1934,7.4,"$900,000 (estimated)","$3,353",1246.0,1934.0,1.0
336,0027125,Top Hat,1935,7.7,"$609,000 (estimated)","$5,541",595.0,1935.0,2.0
337,0026029,The 39 Steps,1935,7.6,"£50,000 (estimated)","$51,711",1242.0,1935.0,3.0
338,0026071,Anna Karenina,1935,7.0,"£50,000 (estimated)","$51,711",1261.0,1935.0,2.0
339,0026752,Mutiny on the Bounty,1935,7.6,"£50,000 (estimated)","$51,711",1361.0,1935.0,1.0
341,0026942,Roberta,1935,7.0,"$610,000 (estimated)","$2,493",2362.0,1935.0,3.0
344,0026138,The Bride of Frankenstein,1935,7.8,"$397,024 (estimated)","$10,493",3891.0,1935.0,3.0
