,imdbid,title,year,imdb_rating,estimated budget,world gross,id,year_y,bechdel_rating
0,3155794,Passage de Venus,1874,6.8,,,9602.0,1874.0,0.0
1,14495706,La Rosace Magique,1877,5.8,,,9804.0,1877.0,0.0
2,2221420,Sallie Gardner at a Gallop,1878,7.4,,,9603.0,1878.0,0.0
3,12592084,Le singe musicien,1878,6.0,,,9806.0,1878.0,0.0
4,7816420,Athlete Swinging a Pick,1881,5.1,,,9816.0,1881.0,0.0
5,5459794,Buffalo Running,1883,6.2,,,9831.0,1883.0,0.0
6,8588366,L'homme machine,1885,5.3,,,9832.0,1885.0,0.0
7,2075247,Man Walking Around the Corner,1887,5.2,,,9614.0,1887.0,0.0
8,8133192,Cockatoo Flying,1887,5.3,,,9836.0,1887.0,0.0
9,7411790,Child Carrying Flowers to Woman,1887,5.8,,,9837.0,1887.0,0.0
10,7541160,Jumping Over a Man's Back-Leapfrog,1887,5.1,,,9838.0,1887.0,0.0
11,7754902,Man Riding Jumping Horse,1887,5.3,,,9841.0,1887.0,0.0
12,8361552,Baboon Climbing a Pole,1887,4.8,,,9902.0,1887.0,0.0
13,0392728,Roundhay Garden Scene,1888,7.3,,,8040.0,1888.0,0.0
14,1758563,Accordion Player,1888,5.5,,,9615.0,1888.0,0.0
15,0343112,Traffic Crossing Leeds Bridge,1888,6.6,,,9616.0,1888.0,0.0
16,3274100,Pferd und Reiter Springen über ein Hindernis,1888,5.7,,,9675.0,1888.0,0.0
17,2116853,Brighton Street Scene,1888,5.5,,,9947.0,1888.0,0.0
18,0466876,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,5.0,,,9619.0,1889.0,0.0
19,2116898,Hyde Park Corner,1889,5.1,,,9945.0,1889.0,0.0
20,0361921,"Monkeyshines, No. 1",1890,4.9,,,9617.0,1890.0,0.0
21,0416046,"Monkeyshines, No. 2",1890,4.8,,,9618.0,1890.0,0.0
22,1202028,London's Trafalgar Square,1890,5.4,,,9621.0,1890.0,0.0
23,0416047,"Monkeyshines, No. 3",1890,4.2,,,9678.0,1890.0,0.0
24,5285442,Mosquinha,1890,6.5,,,9946.0,1890.0,0.0
25,2116968,"Traffic in King's Road, Chelsea",1890,4.9,,,9944.0,1890.0,0.0
26,0241373,Dickson Greeting,1891,5.3,,,9626.0,1891.0,0.0
27,0241715,Men Boxing,1891,4.7,,,9628.0,1891.0,0.0
28,0241763,Newark Athlete,1891,4.9,,,9629.0,1891.0,0.0
29,0241393,"Duncan and Another, Blacksmith Shop",1891,3.9,,,9792.0,1891.0,0.0
30,0241392,Duncan Smoking,1891,3.8,,,9793.0,1891.0,0.0
31,0241394,Duncan or Devonald with Muslin Cloud,1891,4.3,,,9794.0,1891.0,0.0
32,0241735,"Monkey and Another, Boxing",1891,4.4,,,9795.0,1891.0,0.0
33,3201916,Je vous aime,1891,5.1,,,9800.0,1891.0,0.0
34,3508566,La vague,1891,5.0,,,9802.0,1891.0,0.0
35,5447082,Two Fencers,1891,4.9,,,9943.0,1891.0,0.0
36,0000003,Pauvre Pierrot,1892,6.5,,,5433.0,1892.0,0.0
37,0000004,Un bon bock,1892,5.6,,,9631.0,1892.0,0.0
38,0000002,Le clown et ses chiens,1892,5.8,,,9632.0,1892.0,0.0
39,0241446,Fencing,1892,4.2,,,9951.0,1892.0,0.0
40,0234520,Le prince de Galles,1892,4.8,,,9952.0,1892.0,0.0
41,0242148,Wrestling,1892,4.5,,,9948.0,1892.0,0.0
42,0241266,Boxing,1892,5.0,,,9986.0,1892.0,0.0
43,0000005,Blacksmith Scene,1893,6.2,,,9583.0,1893.0,0.0
44,0229217,Annabelle Butterfly Dance,1894,5.9,,,9636.0,1894.0,0.0
45,8419312,Edison Kinetoscope Records: Annie Oakley,1894,5.8,,,9642.0,1894.0,0.0
46,0000015,Autour d'une cabine,1894,6.1,,,9646.0,1894.0,0.0
47,0229235,The Barbershop,1894,5.3,,,9648.0,1894.0,0.0
48,0309396,Bucking Broncho,1894,5.1,,,9649.0,1894.0,0.0
49,0309402,Buffalo Dance,1894,5.4,,,9650.0,1894.0,0.0
50,0000001,Carmencita,1894,5.7,,,9651.0,1894.0,0.0
51,0000008,Edison Kinetoscopic Record of a Sneeze,1894,5.4,,,9652.0,1894.0,0.0
52,0177707,Dickson Experimental Sound Film,1894,6.7,,,9654.0,1894.0,0.0
53,0000006,Chinese Opium Den,1894,5.1,,,9655.0,1894.0,0.0
54,0000007,Corbett and Courtney Before the Kinetograph,1894,5.4,,,9656.0,1894.0,0.0
55,2049440,Falling Cat,1894,5.7,,,9662.0,1894.0,0.0
56,0312728,"Glenroy Bros., No. 2",1894,5.0,,,9663.0,1894.0,0.0
57,0256782,Glenroy Brothers (Comic Boxing),1894,5.3,,,9664.0,1894.0,0.0
58,0203646,Leonard-Cushing Fight,1894,5.1,,,9668.0,1894.0,0.0
59,0277115,"Luis Martinetti, Contortionist",1894,5.6,,,9671.0,1894.0,0.0
60,2161519,Sandow No. 2,1894,4.4,,,9673.0,1894.0,0.0
61,2161521,Sandow No. 3,1894,4.4,,,9674.0,1894.0,0.0
62,0413219,Rêve au coin du feu,1894,4.4,,,9681.0,1894.0,0.0
63,0000009,Miss Jerry,1894,5.3,,,9779.0,1894.0,0.0
64,0000014,The Waterer Watered,1895,7.1,,,5444.0,1895.0,0.0
65,0132134,"The Execution of Mary, Queen of Scots",1895,6.7,,,6200.0,1895.0,0.0
66,0000011,Akrobatisches Potpourri,1895,5.3,,,9679.0,1895.0,1.0
67,0154152,Annabelle Serpentine Dance,1895,6.5,,,9683.0,1895.0,0.0
68,0000017,Italienischer Bauerntanz,1895,4.6,,,9714.0,1895.0,0.0
69,0000029,Baby's Meal,1895,5.9,,,9715.0,1895.0,1.0
70,0477266,Billy Edwards and the Unknown,1895,4.5,,,9766.0,1895.0,0.0
71,0000016,Boat Leaving the Port,1895,5.9,,,9787.0,1895.0,0.0
72,0000091,The House of the Devil,1896,6.7,,,4982.0,1896.0,0.0
73,0000131,Une nuit terrible,1896,5.8,,,5406.0,1896.0,0.0
74,0223341,La fée aux choux,1896,5.4,,,5445.0,1896.0,0.0
75,0000012,The Arrival of a Train,1896,7.4,,,6199.0,1896.0,0.0
76,1428455,Sandow,1896,5.4,,,9672.0,1896.0,0.0
77,1672718,Alger: rue Bab-Azoun,1896,5.0,,,9949.0,1896.0,0.0
78,1736599,Lassage des boeufs pour le labour,1896,4.4,,,9950.0,1896.0,0.0
79,0222137,Lancement d'un navire,1896,6.2,,,9901.0,1896.0,0.0
80,0000041,Bataille de neige,1897,6.7,,,9328.0,1897.0,0.0
81,0135696,Four Heads Are Better Than One,1898,7.6,,,4978.0,1898.0,0.0
82,0000211,"The Astronomer's Dream; or, the Man in the Moon",1898,7.4,,,5410.0,1898.0,0.0
83,0224240,The Temptation of St. Anthony,1898,5.9,,,5411.0,1898.0,0.0
84,0000246,A Turn of the Century Illusionist,1899,6.4,,,4994.0,1899.0,0.0
85,0000230,Cinderella,1899,6.5,,,5914.0,1899.0,3.0
86,0291476,Sherlock Holmes Baffled,1900,5.2,,,1594.0,1900.0,0.0
87,0000300,The Enchanted Drawing,1900,6.9,,,4271.0,1900.0,0.0
88,0000304,Grandma's Reading Glass,1900,6.0,,,4343.0,1900.0,0.0
89,0000272,As Seen Through a Telescope,1900,5.6,,,4344.0,1900.0,0.0
90,0257654,The Delights of Automobiling,1900,6.3,,,4345.0,1900.0,0.0
91,0000306,Le duel d'Hamlet,1900,5.3,,,4346.0,1900.0,0.0
92,0135453,The One-Man Band,1900,7.0,,,4993.0,1900.0,0.0
93,0377995,Grandma Threading Her Needle,1900,5.8,,,5069.0,1900.0,0.0
94,0230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,4.9,,,5072.0,1900.0,0.0
95,0000313,Let Me Dream Again,1900,5.8,,,5438.0,1900.0,0.0
96,0227438,The Doctor and the Monkey,1900,5.2,,,5446.0,1900.0,0.0
97,0000359,L'homme à la tête en caoutchouc,1901,7.1,,,4995.0,1901.0,0.0
98,0258104,Rêve et réalité,1901,5.1,,,5437.0,1901.0,0.0
99,0131934,Bluebeard,1901,6.9,,,5500.0,1901.0,0.0
100,0000417,A Trip to the Moon,1902,8.2,,,1252.0,1902.0,0.0
101,0229024,Gulliver's Travels,1902,6.6,,,5431.0,1902.0,0.0
102,0367177,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",1902,4.9,,,5432.0,1902.0,0.0
103,0000413,The Devil's Money Bags,1902,5.5,,,5443.0,1902.0,0.0
104,0000439,The Great Train Robbery,1903,7.3,,,1319.0,1903.0,0.0
105,0135180,The Infernal Cauldron,1903,6.6,,,5002.0,1903.0,0.0
106,0000455,The Music Lover,1903,6.8,,,5063.0,1903.0,0.0
107,0223755,The Monster,1903,6.3,,,5064.0,1903.0,0.0
108,0189498,The Enchanted Well,1903,6.0,,,5683.0,1903.0,0.0
109,0215664,The Cook in Trouble,1904,6.0,,,5224.0,1904.0,0.0
110,0135179,The Living Playing Cards,1905,6.6,,,5404.0,1904.0,0.0
111,0135631,The Untamable Whiskers,1904,6.2,,,5601.0,1904.0,0.0
112,0000499,Le voyage à travers l'impossible,1904,7.5,,,6135.0,1904.0,0.0
113,0135690,The Scheming Gambler's Paradise,1905,6.0,,,5003.0,1905.0,0.0
114,0215575,The Black Imp,1905,7.0,,,5602.0,1905.0,0.0
115,0000574,The Story of the Kelly Gang,1906,6.0,,,1349.0,1906.0,1.0
116,0216016,The Mysterious Retort,1906,5.9,,,5024.0,1906.0,0.0
117,0000554,Humorous Phases of Funny Faces,1906,6.3,,,5435.0,1906.0,0.0
118,0135122,The Hilarious Posters,1906,6.2,,,5603.0,1906.0,0.0
119,0000567,The 400 Tricks of the Devil,1906,6.8,,,5684.0,1906.0,0.0
120,0449172,A Funny Shave,1906,5.8,,,6206.0,1906.0,0.0
121,1260944,The Consequences of Feminism,1906,6.6,,,7215.0,1906.0,0.0
122,0215737,The Eclipse: Courtship of the Sun and Moon,1907,6.4,,,5223.0,1907.0,0.0
123,0215817,Good Glue Sticks,1907,5.5,,,5615.0,1907.0,0.0
124,1802750,Unusual Cooking,1908,5.7,,,6231.0,1908.0,0.0
125,0001009,"Princess Nicotine; or, the Smoke Fairy",1909,6.5,,,4409.0,1909.0,2.0
126,0127948,The Devilish Tenant,1909,7.2,,,5635.0,1909.0,0.0
127,0277596,Le baromètre de la fidélité,1915,6.1,,,6211.0,1909.0,1.0
128,0232821,Tilly the Tomboy Visits the Poor,1910,5.9,,,1464.0,1910.0,3.0
129,0486978,The Automatic Moving Company,1910,6.6,,,4983.0,1910.0,0.0
130,1515725,A Trip to Mars,1910,6.0,,,5685.0,1910.0,0.0
131,0002101,Cleopatra,1912,5.1,,,2003.0,1912.0,2.0
132,0002281,The Invaders,1912,6.1,,,2005.0,1912.0,0.0
133,0277865,L'âne jaloux,1912,5.8,,,5357.0,1912.0,0.0
134,0003512,The Voyage of the Bourrichon Family,1913,5.0,,,5364.0,1913.0,0.0
135,0003424,Suspense,1913,7.4,,,5915.0,1913.0,0.0
136,0003973,A Florida Enchantment,1914,5.8,,,4457.0,1914.0,2.0
137,0004972,The Birth of a Nation,1915,6.2,,,1258.0,1915.0,2.0
138,0006745,Gretchen the Greenhorn,1916,6.4,,,2008.0,1916.0,3.0
139,0279914,Lady Windermere's Fan,1916,5.4,,,2014.0,1916.0,3.0
140,0007507,The Vagabond,1916,6.8,,,5368.0,1916.0,0.0
141,0006864,Intolerance,1916,7.7,,,5944.0,1916.0,0.0
142,0007361,Snow White,1916,6.3,,,7004.0,1916.0,3.0
143,0008652,A Tale of Two Cities,1917,6.0,,,1981.0,1917.0,3.0
144,0008499,Rebecca of Sunnybrook Farm,1917,6.3,,,1993.0,1917.0,3.0
145,0008443,The Poor Little Rich Girl,1917,6.7,,,1994.0,1917.0,3.0
146,0008519,A Romance of the Redwoods,1917,6.1,,,2015.0,1917.0,0.0
147,0008489,"Raffles, the Amateur Cracksman",1917,6.4,,,2019.0,1917.0,2.0
148,0009682,Tarzan of the Apes,1918,5.8,,,1996.0,1918.0,3.0
149,0009652,Stella Maris,1918,6.9,,,2007.0,1918.0,3.0
150,0008844,Are Crooks Dishonest?,1918,6.2,,,5441.0,1918.0,0.0
151,0010281,Ich möchte kein Mann sein,1918,6.8,,,7108.0,1918.0,3.0
152,0010879,When the Clouds Roll by,1919,6.9,,,2018.0,1919.0,3.0
153,0009968,Broken Blossoms,1919,7.2,,,2588.0,1919.0,0.0
154,0010323,The Cabinet of Dr. Caligari,1920,8.0,"$18,000 (estimated)","$8,811",1306.0,1920.0,0.0
155,0011588,Pollyanna,1920,6.4,"$18,000 (estimated)","$8,811",1991.0,1920.0,3.0
156,0011870,Within Our Gates,1920,6.4,,,5948.0,1920.0,3.0
157,0012532,Orphans of the Storm,1921,7.3,,,1263.0,1921.0,3.0
158,0012349,The Kid,1921,8.3,"$250,000 (estimated)","$41,960",3945.0,1921.0,0.0
159,0011979,The Blot,1921,6.7,,,4204.0,1921.0,3.0
160,0012364,The Phantom Carriage,1921,8.0,,,5898.0,1921.0,2.0
161,0013442,Nosferatu,1922,7.9,,,1307.0,1922.0,2.0
162,0013496,Phantom,1922,6.7,,,1631.0,1922.0,2.0
163,0013428,Nathan der Weise,1922,6.9,,,1778.0,1922.0,2.0
164,0013367,The Man from Beyond,1922,5.3,,,2001.0,1922.0,1.0
165,0013257,Häxan,1922,7.6,,,3800.0,1922.0,3.0
166,0012543,The Paleface,1922,6.8,,,5361.0,1922.0,0.0
167,0013427,Nanook of the North,1922,7.6,,,5901.0,1922.0,1.0
168,0013140,Foolish Wives,1922,7.0,,,5958.0,1922.0,3.0
169,0013086,"Dr. Mabuse, the Gambler",1922,7.8,,,5967.0,1922.0,3.0
170,0014429,Safety Last!,1923,8.1,,,1961.0,1923.0,0.0
171,0014611,Why Worry?,1923,7.3,,,1967.0,1923.0,0.0
172,0014469,The Silent Command,1923,6.0,,,1998.0,1923.0,2.0
173,0013626,La souriante Madame Beudet,1923,6.6,,,5888.0,1923.0,3.0
174,0014341,Our Hospitality,1923,7.8,,,5949.0,1923.0,0.0
175,0014624,A Woman of Paris: A Drama of Fate,1923,6.9,"$351,000 (estimated)","$11,233",8947.0,1923.0,2.0
176,0015175,Die Nibelungen: Siegfried,1924,8.1,,,1337.0,1924.0,2.0
177,0015174,Die Nibelungen: Kriemhild's Revenge,1924,7.9,,,1338.0,1924.0,2.0
178,0015400,The Thief of Bagdad,1924,7.7,,,1264.0,1924.0,0.0
179,0015498,Wild Oranges,1924,6.7,,,1960.0,1924.0,0.0
180,0015163,The Navigator,1924,7.6,,,2009.0,1924.0,0.0
181,0015324,Sherlock Jr.,1924,8.2,,,2011.0,1924.0,0.0
182,0014945,Girl Shy,1924,7.7,,,2016.0,1924.0,0.0
183,0015116,Manhandled,1924,6.7,,,2020.0,1924.0,3.0
184,1764657,The Great White Silence,1922,8.0,,,2413.0,1924.0,0.0
185,0013845,Help!,1924,6.8,,,6209.0,1924.0,0.0
186,0015881,Greed,1924,8.0,,,8458.0,1924.0,3.0
187,0016220,The Phantom of the Opera,1925,7.5,"$3,751,476","$4,360,000",1305.0,1925.0,2.0
188,0015648,Battleship Potemkin,1925,7.9,"$51,198","$61,389",1308.0,1925.0,0.0
189,0015864,The Gold Rush,1925,8.1,"$923,000 (estimated)","$29,328",1309.0,1925.0,0.0
190,0015863,Go West,1925,7.1,,,1978.0,1925.0,0.0
191,0015841,The Freshman,1925,7.5,,,2012.0,1925.0,0.0
192,0016332,Seven Chances,1925,7.8,,,3077.0,1925.0,0.0
193,0016039,The Lost World,1925,7.0,"$1,194,450","$2,834,000",5514.0,1925.0,2.0
194,0015624,The Big Parade,1925,7.9,"$1,194,450","$2,834,000",5962.0,1925.0,2.0
195,0015361,Stachka,1925,7.6,,,5991.0,1925.0,0.0
196,0017449,The Temptress,1926,6.9,,,1334.0,1926.0,1.0
197,0016884,Flesh and the Devil,1926,7.6,,,1260.0,1926.0,1.0
198,0017925,The General,1926,8.1,,,1310.0,1926.0,0.0
199,0016895,For Heaven's Sake,1926,7.5,,,1966.0,1926.0,0.0
200,0017410,So's Your Old Man,1926,6.6,,,3217.0,1926.0,3.0
201,0015532,The Adventures of Prince Achmed,1926,7.8,,,5974.0,1926.0,1.0
202,0018033,It,1927,7.2,,,1227.0,1927.0,3.0
203,0017136,Metropolis,1927,8.3,"DEM 6,000,000 (estimated)","$1,349,711",1267.0,1927.0,1.0
204,0018192,Napoleon,1927,8.2,"FRF 20,000,000 (estimated)","$39,448",1312.0,1927.0,2.0
205,0018528,The Unknown,1927,7.7,"$217,000 (estimated)","$4,841",1311.0,1927.0,0.0
206,0018455,Sunrise,1927,8.1,"$200,000 (estimated)","$121,107",1632.0,1927.0,2.0
207,0018051,The Kid Brother,1927,7.6,"$200,000 (estimated)","$121,107",1964.0,1927.0,0.0
208,0018199,Nevada,1927,6.1,,,1982.0,1927.0,0.0
209,0018183,My Best Girl,1927,7.5,,,2010.0,1927.0,3.0
210,0018578,Wings,1927,7.6,"$2,000,000 (estimated)",$746,3118.0,1927.0,1.0
211,0018037,The Jazz Singer,1927,6.4,"$2,000,000 (estimated)",$746,5975.0,1927.0,1.0
212,0017825,When Boys Leave Home,1927,6.0,,,7324.0,1927.0,1.0
213,0019254,The Passion of Joan of Arc,1928,8.2,"$21,877","$21,877",1314.0,1928.0,0.0
214,0019412,Speedy,1928,7.6,,,1963.0,1928.0,0.0
215,0018773,The Circus,1928,8.1,"$900,000 (estimated)","$27,425",1968.0,1928.0,0.0
216,0018742,The Cameraman,1928,8.0,"$900,000 (estimated)","$27,425",1970.0,1928.0,0.0
217,0019421,"Steamboat Bill, Jr.",1928,7.8,,,1971.0,1928.0,0.0
